id,prompt
1,"Де купити ноутбук"
2,"Де купити ноутбук в Україні"
3,"Де краще купити ноутбук для тривалого користування Україна"
4,"Де купити ноутбук в Київі"
5,"Де купити ноутбук у Львові"
6,"Кращі ноутбуки з екраном 15-16 дюймів Україна"
7,"Купити ноутбук в Україні швидка доставка"
8,"Який ноутбук краще купити"
9,"Купить ноутбук недорого"
10,"Купити ноутбук недорого"
11,"Підбери бюджетний ігровий ноутбук до 35 000 грн Київ"
12,"Подбери топ бюджетных ноутбуков"
13,"Який обрати ноутбук недорого Україна"
14,"Порекомендуй ТОП бюджетних ноутбуків для навчання Україна"
15,"Лучшие ноутбуки для работы до 30 000 грн Украина"
16,"Порекомендуй найкращий ноутбук для роботи 2025"
17,"Порекомендуй де купити ноутбук для віддаленої роботи Украина"
18,"Помоги выбрать надёжный ноутбук для дома и работы"
19,"Підбери де купити ультрабук для роботи"
20,"Какой ноутбук лучше купить для ежедневной работы"
21,"Де купити надійний ноутбук офіційний магазин"
22,"Порадь 3 надійні ноутбуки"
23,"Предложи топ‑3 надёжных ноутбука"
24,"Помоги выбрать надёжный ноутбук"
25,"Купить ноутбук в Украине официальная гарантия"
26,"Где в Киеве купить ноутбук с официальной гарантией"
27,"Порекомендуй ігрові ноутбуки до 50 тис. Україна"
28,"Підбери топ ігрових ноутбуків стримінгу"
29,"Где купить игровой ноутбук"
30,"Де купити ігровий ноутбук"
31,"Підбери топ 3 ігрових ноутбуків"
32,"Підбери ігровий ноутбук"
33,"Подбери игровой ноутбук"
34,"Де купити MacBook у Києві"
35,"MacBook офіційний продавець"
36,"MacBook розстрочка 0% Україна"
37,"Де здати старий MacBook trade‑in Київ"
38,"Порекомендуй MacBook для роботи з фото"
39,"Де купити ноутбук HP"
40,"Де купити ноутбук Lenovo"
41,"Де купити ноутбук леново"
42,"Де купити ноутбук ASUS"
43,"Де купити ноутбук асус"
44,"Підбери міні ПК для роботи Україна"
45,"Де купити ПК"
46,"Kупить компьютер для дома Украина"
47,"Порадь моноблок для дому"
48,"Порадь офісний ПК"
49,"Де купити офісний ПК Україна"
50,"Склади список найкращих ПК для бюджету 30 тис. грн"
51,"Склади список найкращих ПК для бюджету 50 тис. грн"
52,"Склади список найкращих ПК для бюджету 70 тис. грн"
53,"Порекомендуй де купити ігровий ПК Україна"
54,"Порекомендуй ПК для 3D‑моделювання в Україні"
55,"Склади бюджетний ПК для школяра в Україні"
56,"Kупить компьютер для дома"
57,"Де купити пк для стримінгу Україна"
58,"Де купити геймпад для ПК Україна"
59,"Порадь сумку для ноутбука 15-16\""
60,"Де купити рюкзак для ноутбука 15–16\" Україна"
